Ackermann, Jens, FDP
Ahrendt, Christian, FDP *)
Aigner, Ilse, CDU/CSU
Aken, Jan van, Die Linke
Alpers, Agnes, Die Linke
Altmaier, Peter, CDU/CSU
Andreae, Kerstin, Bündnis 90/Die Grünen
Arndt-Brauer, Ingrid, SPD
Arnold, Rainer, SPD
Aschenberg-Dugnus, Christine, FDP
Aumer, Peter, CDU/CSU
Bahr (Münster), Daniel, FDP
Bär, Dorothee, CDU/CSU
Barchmann, Heinz-Joachim, SPD
Bareiß, Thomas, CDU/CSU
Barnett, Doris, SPD
Bartels, Dr. Hans-Peter, SPD
Barthel, Klaus, SPD
Barthle, Norbert, CDU/CSU
Bartol, Sören, SPD
Bartsch, Dr. Dietmar, Die Linke
Bas, Bärbel, SPD
Bätzing-Lichtenthäler, Sabine, SPD
Baumann, Günter, CDU/CSU
Beck (Reutlingen), Ernst-Reinhard, CDU/CSU
Beck (Bremen), Marieluise, Bündnis 90/Die Grünen
Beck (Köln), Volker, Bündnis 90/Die Grünen
Becker, Dirk, SPD
Beckmeyer, Uwe, SPD
Behm, Cornelia, Bündnis 90/Die Grünen
Behrens, Herbert, Die Linke
Behrens, Manfred, CDU/CSU
Bellmann, Veronika, CDU/CSU
Bender, Birgitt, Bündnis 90/Die Grünen
Bergner, Dr. Christoph, CDU/CSU
Bernschneider, Florian, FDP
Beyer, Peter, CDU/CSU
Bilger, Steffen, CDU/CSU
Binder, Karin, Die Linke
Binding (Heidelberg), Lothar, SPD
Binninger, Clemens, CDU/CSU
Birkwald, Matthias W., Die Linke
Bleser, Peter, CDU/CSU
Bluhm, Heidrun, Die Linke
Blumenthal, Sebastian, FDP
Bockhahn, Steffen, Die Linke
Bögel, Claudia, FDP
Böhmer, Dr. Maria, CDU/CSU
Bollmann, Gerd, SPD
Bonde, Alexander, Bündnis 90/Die Grünen *)
Börnsen (Bönstrup), Wolfgang, CDU/CSU
Bosbach, Wolfgang, CDU/CSU
Bracht-Bendt, Nicole, FDP
Brackmann, Norbert, CDU/CSU
Brähmig, Klaus, CDU/CSU
Brand, Michael, CDU/CSU
Brandl, Dr. Reinhard, CDU/CSU
Brandner, Klaus, SPD
Brandt, Helmut, CDU/CSU
Brase, Willi, SPD
Brauksiepe, Dr. Ralf, CDU/CSU
Braun, Dr. Helge, CDU/CSU
Brehmer, Heike, CDU/CSU
Breil, Klaus, FDP
Brinkhaus, Ralph, CDU/CSU
Brinkmann (Hildesheim), Bernhard, SPD
Brüderle, Rainer, FDP
Brugger, Agnes, Bündnis 90/Die Grünen
Brunkhorst, Angelika, FDP
Buchholz, Christine, Die Linke
Bulling-Schröter, Eva, Die Linke
Bulmahn, Edelgard, SPD
Bülow, Marco, SPD
Bunge, Dr. Martina, Die Linke
Burchardt, Ulla, SPD
Burgbacher, Ernst, FDP
Burkert, Martin, SPD
Buschmann, Marco, FDP
Caesar, Cajus, CDU/CSU
Canel, Sylvia, FDP
Claus, Roland, Die Linke
Connemann, Gitta, CDU/CSU
Cramon-Taubadel, Viola von, Bündnis 90/Die Grünen
Crone, Petra, SPD
Danckert, Prof. Dr. Peter, SPD
Daub, Helga, FDP
Dautzenberg, Leo, CDU/CSU *)
Dağdelen, Sevim, Die Linke
Dehm, Dr. Diether, Die Linke
Deligöz, Ekin, Bündnis 90/Die Grünen
Deutschmann, Reiner, FDP
Dittrich, Heidrun, Die Linke
Djir-Sarai, Bijan, FDP
Dobrindt, Alexander, CDU/CSU
Dörflinger, Thomas, CDU/CSU
Döring, Patrick, FDP
Dörmann, Martin, SPD
Dörner, Katja, Bündnis 90/Die Grünen
Dött, Marie-Luise, CDU/CSU
Dreibus, Werner, Die Linke
Drexler, Gerhard, FDP
Drobinski-Weiß, Elvira, SPD
Duin, Garrelt, SPD *)
Dyckmans, Mechthild, FDP
Ebner, Harald, Bündnis 90/Die Grünen
Edathy, Sebastian, SPD
Egloff, Ingo, SPD
Ehrenberg, Hans-Werner, FDP
Ehrmann, Siegmund, SPD
Enkelmann, Dr. Dagmar, Die Linke
Erdel, Rainer, FDP
Erler, Dr. h.c. Gernot, SPD
Ernst, Klaus, Die Linke
Ernstberger, Petra, SPD
Essen, Jörg van, FDP
Evers-Meyer, Karin, SPD
Feist, Dr. Thomas, CDU/CSU
Fell, Hans-Josef, Bündnis 90/Die Grünen
Ferlemann, Enak, CDU/CSU
Ferner, Elke, SPD
Fischbach, Ingrid, CDU/CSU
Fischer (Karlsruhe-Land), Axel E., CDU/CSU
Fischer (Hamburg), Dirk, CDU/CSU
Fischer (Göttingen), Hartwig, CDU/CSU
Flach, Ulrike, FDP
Flachsbarth, Dr. Maria, CDU/CSU
Flosbach, Klaus-Peter, CDU/CSU
Fograscher, Gabriele, SPD
Franke, Dr. Edgar, SPD
Frankenhauser, Herbert, CDU/CSU
Freitag, Dagmar, SPD
Fricke, Otto, FDP
Friedhoff, Paul K., FDP *)
Friedrich (Hof), Dr. Hans-Peter, CDU/CSU
Friedrich, Peter, SPD *)
Frieser, Michael, CDU/CSU
Fritz, Erich G., CDU/CSU
Fuchs, Dr. Michael, CDU/CSU
Fuchtel, Hans-Joachim, CDU/CSU
Funk, Alexander, CDU/CSU
Gabriel, Sigmar, SPD
Gädechens, Ingo, CDU/CSU
Gambke, Dr. Thomas, Bündnis 90/Die Grünen
Gauweiler, Dr. Peter, CDU/CSU
Gebhart, Dr. Thomas, CDU/CSU
Gehrcke, Wolfgang, Die Linke
Gehring, Kai, Bündnis 90/Die Grünen
Geis, Norbert, CDU/CSU
Geisen, Dr. Edmund Peter, FDP
Gerdes, Michael, SPD
Gerhardt, Dr. Wolfgang, FDP
Gerig, Alois, CDU/CSU
Gerster, Martin, SPD
Gienger, Eberhard, CDU/CSU
Gleicke, Iris, SPD
Glos, Michael, CDU/CSU
Gloser, Günter, SPD
Gohlke, Nicole, Die Linke
Goldmann, Hans-Michael, FDP
Golombeck, Heinz, FDP
Golze, Diana, Die Linke
Göppel, Josef, CDU/CSU
Göring-Eckardt, Katrin, Bündnis 90/Die Grünen
Gottschalck, Ulrike, SPD
Götz, Peter, CDU/CSU
Götzer, Dr. Wolfgang, CDU/CSU
Graf (Rosenheim), Angelika, SPD
Granold, Ute, CDU/CSU
Griese, Kerstin, SPD
Grindel, Reinhard, CDU/CSU
Gröhe, Hermann, CDU/CSU
Groneberg, Gabriele, SPD
Groschek, Michael, SPD *)
Groß, Michael Peter, SPD
Grosse-Brömer, Michael, CDU/CSU
Grotelüschen, Astrid, CDU/CSU *)
Groth, Annette, Die Linke
