Aken, Jan van, Die Linke
Albani, Stephan, CDU/CSU
Albsteiger, Katrin, CDU/CSU
Alpers, Agnes, Die Linke
Altmaier, Peter, CDU/CSU
Amtsberg, Luise, Bündnis 90/Die Grünen
Andreae, Kerstin, Bündnis 90/Die Grünen
Annen, Niels, SPD
Arndt-Brauer, Ingrid, SPD
Arnold, Rainer, SPD
Auernhammer, Artur, CDU/CSU
Baehrens, Heike, SPD
Baerbock, Annalena, Bündnis 90/Die Grünen
Bahr, Ulrike, SPD
Bär, Dorothee, CDU/CSU
Barchmann, Heinz-Joachim, SPD
Bareiß, Thomas, CDU/CSU
Barley, Dr. Katarina, SPD
Barnett, Doris, SPD
Bartels, Dr. Hans-Peter, SPD
Barthel, Klaus, SPD
Barthle, Norbert, CDU/CSU
Bartke, Dr. Matthias, SPD
Bartol, Sören, SPD
Bartsch, Dr. Dietmar, Die Linke
Bartz, Julia, CDU/CSU
Bas, Bärbel, SPD
Bätzing-Lichtenthäler, Sabine, SPD
Baumann, Günter, CDU/CSU
Beck (Bremen), Marieluise, Bündnis 90/Die Grünen
Beck (Köln), Volker, Bündnis 90/Die Grünen
Becker, Dirk, SPD
Beckmeyer, Uwe Karl, SPD
Beermann, Maik, CDU/CSU
Behrens, Herbert, Die Linke
Behrens (Börde), Manfred, CDU/CSU
Bellmann, Veronika, CDU/CSU
Benning, Sybille, CDU/CSU
Berghegger, Dr. André, CDU/CSU
Bergner, Dr. Christoph, CDU/CSU
Bertram, Ute, CDU/CSU
Beyer, Peter, CDU/CSU
Bilger, Steffen, CDU/CSU
Binder, Karin, Die Linke
Binding (Heidelberg), Lothar, SPD
Binninger, Clemens, CDU/CSU
Birkwald, Matthias W., Die Linke
Bleser, Peter, CDU/CSU
Blienert, Burkhard, SPD
Bluhm, Heidrun, Die Linke
Böhmer, Prof. Dr. Maria, CDU/CSU
Bosbach, Wolfgang, CDU/CSU
Brackmann, Norbert, CDU/CSU
Brähmig, Klaus, CDU/CSU
Brand, Michael, CDU/CSU
Brandl, Dr. Reinhard, CDU/CSU
Brandt, Helmut, CDU/CSU
Brantner, Dr. Franziska, Bündnis 90/Die Grünen
Brase, Willi, SPD
Brauksiepe, Dr. Ralf, CDU/CSU
Braun, Dr. Helge, CDU/CSU
Brehmer, Heike, CDU/CSU
Brinkhaus, Ralph, CDU/CSU
Brugger, Agnieszka, Bündnis 90/Die Grünen
Brunner, Dr. Karl-Heinz, SPD
Buchholz, Christine, Die Linke
Bulling-Schröter, Eva, Die Linke
Bulmahn, Edelgard, SPD
Bülow, Marco, SPD
Burkert, Martin, SPD
Caesar, Cajus, CDU/CSU
Castellucci, Prof. Dr. Lars, SPD
Claus, Roland, Die Linke
Connemann, Gitta, CDU/CSU
Crone, Petra, SPD
Daldrup, Bernhard, SPD
Dağdelen, Sevim, Die Linke
Dehm, Dr. Diether, Die Linke
Deligöz, Ekin, Bündnis 90/Die Grünen
De Ridder, Dr. rer. pol. Daniela, SPD
Diaby, Dr. rer. nat. Karamba, SPD
Dinges-Dierig, Alexandra, CDU/CSU
Dittmar, Sabine, SPD
Dobrindt, Alexander, CDU/CSU
Donth, Michael, CDU/CSU
Dörflinger, Thomas, CDU/CSU
Dörmann, Martin, SPD
Dörner, Katja, Bündnis 90/Die Grünen
Dött, Marie-Luise, CDU/CSU
Drobinski-Weiß, Elvira, SPD
Dröge, Katharina, Bündnis 90/Die Grünen
Durz, Hansjörg, CDU/CSU
Ebner, Harald, Bündnis 90/Die Grünen
Eckenbach, Jutta, CDU/CSU
Edathy, Sebastian, SPD
Ehrmann, Siegmund, SPD
Engelmeier-Heite, Michaela, SPD
Erler, Dr. h.c. Gernot, SPD
Ernst, Klaus, Die Linke
Ernstberger, Petra, SPD
Esken, Saskia, SPD
Evers-Meyer, Karin, SPD
Fabritius, Dr. Bernd, CDU/CSU
Färber, Hermann, CDU/CSU
Fechner, Dr. Johannes, SPD
Feiler, Uwe, CDU/CSU
Feist, Dr. Thomas, CDU/CSU
Felgentreu, Dr. Fritz, SPD
Ferlemann, Enak, CDU/CSU
Ferner, Elke, SPD
Finckh-Krämer, Dr. rer. nat. Ute, SPD
Fischbach, Ingrid, CDU/CSU
Fischer (Karlsruhe-Land), Axel E., CDU/CSU
Fischer (Hamburg), Dirk, CDU/CSU
Flachsbarth, Dr. Maria, CDU/CSU
Flisek, Christian, SPD
Flosbach, Klaus-Peter, CDU/CSU
Fograscher, Gabriele, SPD
Franke, Dr. Edgar, SPD
Freese, Ulrich, SPD
Frei, Thorsten, CDU/CSU
Freitag, Dagmar, SPD
Freudenstein, Dr. Astrid, CDU/CSU
Friedrich (Hof), Dr. Hans-Peter, CDU/CSU
Frieser, Michael, CDU/CSU
Fuchs, Dr. Michael, CDU/CSU
Fuchtel, Hans-Joachim, CDU/CSU
Funk, Alexander, CDU/CSU
Gabriel, Sigmar, SPD
Gädechens, Ingo, CDU/CSU
Gambke, Dr. Thomas, Bündnis 90/Die Grünen
Gastel, Matthias, Bündnis 90/Die Grünen
Gauweiler, Dr. Peter, CDU/CSU
Gebhart, Dr. Thomas, CDU/CSU
Gehrcke, Wolfgang, Die Linke
Gehring, Kai, Bündnis 90/Die Grünen
Gerdes, Michael, SPD
Gerig, Alois, CDU/CSU
Gerster, Martin, SPD
Gienger, Eberhard, CDU/CSU
Giousouf, Cemile, CDU/CSU
Gleicke, Iris, SPD
Gohlke, Nicole, Die Linke
Golze, Diana, Die Linke
Göppel, Josef, CDU/CSU
Göring-Eckardt, Katrin, Bündnis 90/Die Grünen
Gottschalck, Ulrike, SPD
Griese, Kerstin, SPD
Grindel, Reinhard, CDU/CSU
Groden-Kranich, Ursula, CDU/CSU
Gröhe, Hermann, CDU/CSU
Gröhler, Klaus-Dieter, CDU/CSU
Groß, Michael Peter, SPD
Grosse-Brömer, Michael, CDU/CSU
Grotelüschen, Astrid, CDU/CSU
Groth, Annette, Die Linke
Grötsch, Uli, SPD
Grübel, Markus, CDU/CSU
Grund, Manfred, CDU/CSU
Grundmann, Oliver, CDU/CSU
Grütters, Monika, CDU/CSU
Gundelach, Dr. Herlind, CDU/CSU
Gunkel, Wolfgang, SPD
Güntzler, Fritz, CDU/CSU
Gutting, Olav, CDU/CSU
Gysi, Dr. Gregor, Die Linke
Haase, Christian, CDU/CSU
Hagedorn, Bettina, SPD
Hagl-Kehl, Rita, SPD
Hahn, Dr. André, Die Linke
Hahn, Florian, CDU/CSU
Hajduk, Anja, Bündnis 90/Die Grünen
Hakverdi, Metin, SPD
Hampel, Ulrich, SPD
Hänsel, Heike, Die Linke
Harbarth, Dr. Stephan, CDU/CSU
Hardt, Jürgen, CDU/CSU
Hartmann (Wackernheim), Michael, SPD
Hartmann, Sebastian, SPD
Hasselfeldt, Gerda, CDU/CSU
Haßelmann, Britta, Bündnis 90/Die Grünen
Hauer, Matthias, CDU/CSU
Hauptmann, Mark, CDU/CSU
Heck, Dr. Stefan, CDU/CSU
Heidenblut, Dirk, SPD
Heider, Dr. Matthias, CDU/CSU
Heiderich, Helmut, CDU/CSU
Heil (Peine), Hubertus, SPD
Heil, Mechthild, CDU/CSU
Hein, Dr. Rosemarie, Die Linke
Heinrich (Chemnitz), Frank, CDU/CSU
Heinrich, Gabriela, SPD
Held, Marcus, SPD
Helfrich, Mark, CDU/CSU
Heller, Uda, CDU/CSU
Hellmich, Wolfgang, SPD
Hellmuth, Jörg, CDU/CSU
Hendricks, Dr. Barbara, SPD
Henke, Rudolf, CDU/CSU
Henn, Heidtrud, SPD
Hennrich, Michael, CDU/CSU
Herzog, Gustav, SPD
Heveling, Ansgar, CDU/CSU
Hiller-Ohm, Gabriele, SPD
Hintze, Peter, CDU/CSU
Hinz (Essen), Petra, SPD
Hinz (Herborn), Priska, Bündnis 90/Die Grünen
Hirte, Christian, CDU/CSU
Hirte, Prof. Dr. iur. Heribert, CDU/CSU
Hitschler, Thomas, SPD
Hochbaum, Robert, CDU/CSU
Hoffmann, Alexander, CDU/CSU
Hofreiter, Dr. Anton, Bündnis 90/Die Grünen
Höger, Inge, Die Linke
Högl, Dr. Eva, SPD
Höhn, Bärbel, Bündnis 90/Die Grünen
Holmeier, Karl, CDU/CSU
Holzenkamp, Franz-Josef, CDU/CSU
Hoppenstedt, Dr. Hendrik, CDU/CSU
Horb, Margaret, CDU/CSU
Hornhues, Bettina, CDU/CSU
Huber, Karl-Heinz (Charles M.), CDU/CSU
Hübinger, Anette, CDU/CSU
