"content","cmp_code","eu_code"
"Soziale Gerechtigkeit ist das Programm der LINKEN.","503",NA
"Vor der Wahl und nach der Wahl, in den Parlamenten und in Auseinandersetzungen im Betrieb, auf der Straße, in Initiativen, im Alltag:","503",NA
"Wir wollen Armut beseitigen und Reichtum umverteilen.","503",NA
"Soziale Grundrechte,","503",NA
"gute Arbeit für alle","701",NA
"und freie Bildung.","506",NA
"Wir wollen die natürlichen Lebensgrundlagen erhalten und für künftige Generationen wieder verbessern.","501",NA
"Wir wollen das öffentliche gemeinsame Eigentum stärken","413",NA
"und die öffentliche Daseinsvorsorge ausbauen und verbessern.","411",NA
"Wir haben eine Vision, wie wir den ökologischen Umbau sozial gerecht gestalten wollen.","416",NA
"Wir stehen für den Frieden ein.","106",NA
"Wir verteidigen die Bürgerrechte","201",NA
"und wenden uns gegen den ständigen Abbau von Bürger- und Menschenrechten.","201",NA
"Das macht von Anfang an unsere Politik aus.","305",NA
"Unsere Überzeugung wechselt nicht, weil Wahlen sind.","305",NA
"Viele reden jetzt – pünktlich zu Beginn des Wahlkampfes – wieder von sozialer Politik, aber Worte kosten nichts.","305",NA
"DIE LINKE macht Druck.","305",NA
"Wir wollen dafür sorgen, dass auf Worte Taten folgen.","305",NA
"Niemand darf arm werden, weil er oder sie alt ist, erwerbslos, behindert, chronisch krank oder weil die Eltern arm sind.","503",NA
"Wir wollen Armut bekämpfen:","503",NA
"Das Hartz-IV-System muss weg.","504",NA
"Stattdessen soll mittelfristig eine bedarfsdeckende, sanktionsfreie Mindestsicherung eingeführt werden.","504",NA
"Erwerbslose werden drangsaliert, denn sie dürfen auch die schlechtesten Jobs nicht ablehnen, Sanktionen drohen.","504",NA
"Das erhöht auch den Druck auf die Beschäftigten, niedrige Löhne und Überstunden zu akzeptieren.","701",NA
"Kinder müssen wirksam vor Armut geschützt werden.","706",NA
"Wir wollen für Beschäftigte wie für Erwerbslose Respekt, Würde und ein gutes Leben.","701",NA
"Unsere Forderungen sind nicht abstrakt, sondern sehr konkret:","701",NA
"Für bessere Löhne und Arbeitsbedingungen müssen Tarifverträge leichter für allgemeinverbindlich erklärt werden können.","701",NA
"Der Druck auf die Beschäftigten muss beendet werden: keine Dumping-Konkurrenz durch Leiharbeit, Werkverträge und Niedriglohn.","701",NA
"Viele arbeiten bis zum Umfallen, und es reicht doch vorne und hinten nicht zum Leben.","701",NA
"Auch das ist ein Ergebnis der Massenerwerbslosigkeit.","701",NA
"Wir brauchen Arbeitsplätze, von denen es sich gut leben lässt, für alle.","701",NA
"Die Renten dürfen nicht nur vor Armut schützen, sie müssen den Lebensstandard sichern.","504",NA
"Endlich auch im Osten Deutschlands!","503",NA
"Über 20 Jahre nach der Wende ist das Land immer noch gespalten.","503",NA
"Wir werden das nicht hinnehmen.","503",NA
"Das sind die Interessen, die wir aufgreifen, verteidigen, die uns am Herzen liegen.","202",NA
"Die Lobby der Konzerne und Reichen findet bei uns kein Gehör.","202",NA
"Soziale Gerechtigkeit und wachsende Ungleichheit sind unvereinbar.","503",NA
"Ungleichheit aber kann nur wirksam bekämpfen, wer den Mut hat, Reichtum zu begrenzen und so umzuverteilen, dass er allen zugutekommt.","503",NA
"Wir knicken nicht vor den Reichen ein:","305",NA
"Wir wollen Reiche und Reichtum – Millionäre, Milliardäre, Kapitalvermögen – couragiert besteuern und sicherstellen, dass sie zur Finanzierung des Gemeinwesens angemessen beitragen.","503",NA
"Wir wollen die Enteignung der Bevölkerung stoppen.","503",NA
"Wenige sammeln großen Reichtum in ihren Händen.","503",NA
"Wir wollen ihn in die öffentliche Daseinsvorsorge investieren: Bildung,","506",NA
"Kinderbetreuung,","504",NA
"öffentlicher Verkehr,","411",NA
"Gesundheit,","504",NA
"Pflege,","504",NA
"Wasser,","411",NA
"Energieversorgung,","411",NA
"bezahlbarer Wohnraum – der Bedarf ist groß.","503",NA
"So wird zugleich die Demokratie gestärkt und die Teilhabe von allen gesichert.","202",NA
"Bundeskanzlerin Angela Merkel will eine »marktkonforme Demokratie«.","305",NA
"Dafür stehen wir nicht zur Verfügung.","305",NA
"Im Gegenteil: Wir wollen die sozialen Rechte und die Bürgerrechte stärken.","201",NA
"Wir wollen die Macht der Banken und Konzerne brechen.","412",NA
"Deshalb treten wir für ein soziales, demokratisches und solidarisches Europa ein, das dem Klammergriff der Finanzmärkte entzogen wird.","108",NA
"Zwischen den Ländern mögen Grenzen verlaufen.","108",NA
"Aber die Bevölkerungen und die Beschäftigten dieser Länder haben gemeinsame Interessen: den Kampf gegen Lohndrückerei, Rezession und Massenerwerbslosigkeit.","415",NA
"DIE LINKE ist die Partei des sozial-ökologischen Umbaus der Gesellschaft.","503",NA
"Gerecht ist der ökologische Umbau nur, wenn er auch sozial ist.","503",NA
"Doch auch umgekehrt gilt: Der Kampf um globale soziale Rechte muss die ökologische Frage umfassen.","501",NA
"Mit dem Projekt PLAN B hat DIE LINKE dafür ein Konzept vorgelegt.","305",NA
"Wir stehen nicht für eine ökologische Politik zur Verfügung, die nur die Besserverdienenden im Blick hat und E.ON, Vattenfall & Co. gestattet, die Kosten der Energiewende auf die Bevölkerung abzuwälzen – und die Ärmsten abzukoppeln.","503",NA
"Energie ist ein Gemeingut, es gehört in die Hände der Bevölkerung!","413",NA
"DIE LINKE ist die Friedenspartei.","106",NA
"Wir haben als einzige Fraktion und Partei im Bundestag den Auslandseinsätzen der Bundeswehr nicht zugestimmt und werden es auch in Zukunft nicht tun.","105",NA
"Die deutschen Truppen müssen aus Afghanistan sofort abgezogen werden.","105",NA
"Die Verantwortung von Deutschland geht noch weiter:","105",NA
"Waffenexporte und die Produktion von Rüstungsgütern in der Bundesrepublik müssen verboten werden.","105",NA
"Waffenexporte, auch im Rahmen der Europäischen Union und innerhalb des Militärbündnisses NATO, lehnt DIE LINKE ab.","105",NA
"DIE LINKE ist die sozialistische Bürgerrechtspartei.","201",NA
"Der Einschränkung und dem Abbau von Grund- und Bürgerrechten haben wir konsequent widersprochen.","201",NA
"Jede andere im Bundestag vertretene Partei hat bislang erhebliche Eingriffe in die Bürger- und Menschenrechte vorgenommen, die, wenn überhaupt, nur durch das Bundesverfassungsgericht wieder rückgängig gemacht werden konnten.","201",NA
"Wir wenden uns auch zukünftig gegen den Eingriff in Bürger- und Menschenrechte, denn deren Bestand gehört für uns zu den elementaren Bestandteilen einer gerechten Gesellschaft.","201",NA
"Diese Positionen und Forderungen machen den Kern unserer Politik aus.","305",NA
"An ihnen richten wir unsere Arbeit im nächsten Bundestag aus.","305",NA
"Wir bringen sie immer wieder in die Diskussion – und mit Erfolg.","305",NA
"Die anderen Parteien schrecken vor einer Politik der sozialen Gerechtigkeit spätestens dann zurück, wenn es darum geht, Armut und Niedriglohn wirksam zu bekämpfen","503",NA
"und die Sozialpolitik mit einer Umverteilung des Reichtums zu finanzieren,","503",NA
"den Beschäftigten in betrieblichen Auseinandersetzungen den Rücken zu stärken","701",NA
"und allen denselben Zugang zur Gesundheitsversorgung zu sichern.","504",NA
"Und Renten so zu erhöhen, dass sie nicht nur vor Armut schützen.","504",NA
"In diesem Sinne: DIE LINKE macht Druck.","305",NA
"Gemeinsam können wir Politik entwickeln, gestalten und Widerständigkeit entfalten.","305",NA
