"content","cmp_code"
"Wir wollen Sie bei der Bundestagswahl am 22. September für eine andere, für eine bessere Politik gewinnen.","305"
"Wir wenden uns mit unserem Programm an alle, die meinen, dass wir in unserer Gesellschaft jetzt einiges verändern müssen, um eine gute, eine sichere Zukunft zu schaffen.","305"
"Wenn wir die Klimakatastrophe so weit wie möglich aufhalten und die Energiewende verwirklichen,","501"
"wenn wir morgen in einer gerechten und modernen Gesellschaft leben wollen, dann können wir nicht abwarten – wir müssen heute politisch handeln.","503"
"Wir GRÜNE haben immer versucht, Politik zu machen, die über den Tag hinausdenkt, seit der Gründung der GRÜNEN in der Bundesrepublik im Jahr 1980 und im Osten seit 1989/90 als Grüne Partei in der DDR und als Bündnis 90.","305"
"Dabei waren wir mutig und ehrgeizig und manchmal haben wir uns dabei auch geirrt.","305"
"Aber aus unseren Irrtümern haben wir gelernt, unser Ehrgeiz hat uns stark gemacht und mit unserem Mut haben wir die Gesellschaft vorangebracht.","305"
"Wir wollten aus der Atomkraft aussteigen, als noch alle Mächtigen Atomfans waren.","501"
"Wir haben für biologische Lebensmittel gekämpft, als noch kein Großhändler auch nur daran dachte, diese Produkte zu verkaufen.","501"
"Wir waren FeministInnen, wir haben die Quote gelebt, während überwiegend Männerbünde regierten, die Frauen lieber am Herd sahen.","503"
"Wir kämpften an der Seite von Lesben, Schwulen, trans- und intersexuellen Menschen, als diese sozial vielfach geächtet wurden.","503"
"Wir waren in Ost und West Kriegsdienstverweigerer und Friedensbewegte, als Kalter Krieg und atomares Wettrüsten als politische Notwendigkeit galten.","106"
"Wir zeigten bereits Verantwortung für die Eine Welt, als der Mainstream noch zwischen drei Welten unterschied und nur das nationale Wohl zählte.","107"
"Wir laden Sie auch heute ein, mit uns über den Tag hinauszudenken – mit uns zu diskutieren, was sich ändern muss und wo es hingehen soll.","305"
"Deutschland hat auf dem Weg zu einer grüneren Wirtschaft","416"
